EN,FI,Product Name / Category
,"Lip Glow Huuliöljy hohtaa kuin huulikiilto ja kosteuttaa kuin huulivoide. Hemmottele huuliasi tehokkaalla kosteutuksella ja läpikuultavalla sävyllä, jotka jättävät huulesi pehmeän tuntuisiksi ja kauniisti hehkuviksi. ",Lip Glow Oil Balm
"Create perfect eye looks for day & night!
Nordic Neutrals Eyeshadow Palette contains three silky-smooth and easy-to-blend satin matte shades, along with three high-shine metallic shades that work perfectly together for creating both day and night-time makeup looks. ","Täydellinen meikki päivään tai iltaan!
Nordic Neutrals Luomiväripaletilla luot silmämeikin sekä päivään, että iltaan. Seuraa sävyjen pysty- tai vaakajärjestystä viiden valmiin upean lookin saavuttamiseksi, tai leikittele valitsemillasi sävyillä luodaksesi oman persoonallisen tyylin.",Nordic Neutrals Eyeshadow Palette
Harness the power of the night with Nordic Bloom [Lumo] Anti-Wrinkle & Dark Spot Night Serum. This supercharged formula helps visibly reduce the look dark spots and wrinkles with continuous use while supporting skin's overnight renewal.,"Nordic Bloom [Lumo] Silottavan & pigmenttiläiskiä häivyttävän yöseerumin tehokas koostumus auttaa jatkuvassa käytössä näkyvästi vähentämään tummia läikkiä ja ryppyjä, tukien samalla ihon yön aikaista uudistumista. Sopii käytettäväksi joka ilta kirkkaamman, tasaisemman ja pehmeämmän ihon saavuttamiseksi.",Nordic Bloom [Lumo] Anti-Wrinkle & Dark Spot Night Serum
NEW CC All-Over Concealer 😍 The perfect partner for the CC Cream!,Viimeistelty lopputulos uudella CC Peitevoiteella 😍,"CC Color Correcting Cream SPF20, CC All-Over Concealer"
"NEW Vegan Collagen Serum in Foundation SPF30
A lightweight skincare foundation with buildable coverage for even, naturally luminous finish","UUTTA Seerumimeikkivoide SPF30
Kevyt ihonhoidollinen meikkivoide tasaiseen & luonnollisen hehkuvaan lopputulokseen",Invisible Illumination Vegan Collagen Serum in Foundation SPF30
"There's a reason it's our bestselling serum, get glowy, hydrated and even looking skin with Glow Boost Essence",,Nordic-C [Valo] Glow Boost Essence
Your makeup bag must-have! 💕,,CC Color Correcting Cream SPF20
"High sun protection and a glass skin finish, try the Lumene Fresh Hydration Moisturizer SPF50 💙",Tehokosteuttava päivävoide SPF50💙 Suojaa auringon säteiltä ilman tahmaista tunnetta!,Nordic Hydra [Lähde] Fresh Hydration Moisturizer SPF50
Replenish your skin’s glow with Nordic-C [Valo] Arctic Berry Oil-Cocktail,Palauta ihon hehku Nordic-C [Valo] Ravitsevalla vitamiini-tehohoidolla,Nordic-C [Valo] Arctic Berry Oil-Cocktail
Glow givers ,Heleyttävät suosikit ,Nordic-C [Valo] -products
Hydration heroes ,Kuivan ihon pelastajat,Nordic Hydra [Lähde] -products
"Reveal nurtured, smooth, and healthy-looking skin!
Our youth restoring Nordic Bloom [Lumo] Berry Pre-Retinol Facial Oil is made with 98% upcycled and 99% naturally derived ingredients to deeply nurture, soften the look of wrinkles and restore skin’s youthful glow.",,Nordic Bloom [Lumo] Berry Pre-Retinol Facial Oil
"Get that flawless look with our iconic CC Color Correcting Cream
A lightweight, medium coverage fluid foundation that reduces redness and perfects the skin for an even, naturally glowing complexion.",,CC Color Correcting Cream SPF20
"NEW Firming Serum with Collagen Peptide
Restore your skin's youthful bounce with this super concentrated smoothing serum that targets signs of collagen loss and is clinically tested to visibly reduce the appearance of wrinkles and improve the look of skin’s elasticity for a firmer, youthful-looking complexion.",,Nordic Bloom [Lumo] Firming Serum with Collagen Peptide
Beauty sleep reinvented 🌙,Täydelliset kauneusunet 🌙,"Nordic Bloom [Lumo] Anti-Wrinkle & Dark Spot Night Serum, Nordic Bloom [Lumo] Anti-Wrinkle & Firm Night Moisturizer"
"The Nordic secret to a perfected, naturally glowing complexion",,CC Color Correcting Cream SPF20
,"Korosta hehkuasi Natural Glow -tuotteilla ja luo luonnollisen hehkuva, ilmavan kevyt meikkipohja.       ",Natural Glow -products 
